SKU,Barcode,Slug,Title,Status,Product Description,Stock Status,Quantity,Collections,Category,Sub Category,Settings/Size,Featured,Backorders allowed,Sold Individually,HUID,Min shipping days,Max shipping days,Metal Type,Metal Color,Gold Purity,Gold Gross,Gold Net,Silver Purity,Silver Gross,Silver Net,Platinum Purity,Platinum Gross,Platinum Net,Diamond From,Diamond Weight,Diamond Pieces,Diamond Type,Diamond Quality,Diamond Shapes,Diamond Cut,Custom Diamond Rate,Diamond Certified,Diamond Lab,Diamond Certificate ID,Gemstone From,Gemstone Quality,Gemstone Shape,Gemstone Type,Gemstone Size,Gemstone Pieces
SKU-0,221958,product-slug-0,Product Title 0,publish,<p>Product description for product 0</p>,onbackorder,52,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,15,5,10,Gold,Yellow,22KT,3.927975767,2.595304695,995,,,,,,master,0.396435417,19,Natural,VS2,Princess,Excellent,59910,No,GIA,,master,High,Round,Sapphire,8x5,75
SKU-1,141090,product-slug-1,Product Title 1,draft,<p>Product description for product 1</p>,onbackorder,22,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,2,5,10,Gold,Yellow,22KT,3.887995089,3.784934482,995,,,,,,master,0.101479655,21,Natural,VS2,Princess,Excellent,47568,No,GIA,,master,High,Round,Sapphire,8x5,76
SKU-2,970910,product-slug-2,Product Title 2,publish,<p>Product description for product 2</p>,onbackorder,42,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,16,5,10,Gold,Yellow,22KT,1.931085362,0.817122521,995,,,,,,master,1.274933418,44,Natural,VS2,Princess,Excellent,54118,No,GIA,,master,High,Round,Sapphire,8x5,64
SKU-3,370936,product-slug-3,Product Title 3,draft,<p>Product description for product 3</p>,onbackorder,60,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,14,5,10,Gold,Yellow,22KT,4.233589392,1.566148192,995,,,,,,master,0.285577017,20,Natural,VS2,Princess,Excellent,52619,No,GIA,,master,High,Round,Sapphire,8x5,60
SKU-4,560337,product-slug-4,Product Title 4,publish,<p>Product description for product 4</p>,onbackorder,4,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,2,5,10,Gold,Yellow,22KT,2.700623498,1.22779582,995,,,,,,master,1.178630623,29,Natural,VS2,Princess,Excellent,42990,No,GIA,,master,High,Round,Sapphire,8x5,18
SKU-5,635822,product-slug-5,Product Title 5,draft,<p>Product description for product 5</p>,onbackorder,72,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,14,5,10,Gold,Yellow,22KT,1.78393145,0.658295511,995,,,,,,master,0.718127628,16,Natural,VS2,Princess,Excellent,54300,No,GIA,,master,High,Round,Sapphire,8x5,82
SKU-6,616588,product-slug-6,Product Title 6,publish,<p>Product description for product 6</p>,onbackorder,41,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,15,5,10,Gold,Yellow,22KT,1.661067756,0.554727424,995,,,,,,master,0.904462813,1,Natural,VS2,Princess,Excellent,32027,No,GIA,,master,High,Round,Sapphire,8x5,8
SKU-7,113986,product-slug-7,Product Title 7,draft,<p>Product description for product 7</p>,onbackorder,35,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,1,5,10,Gold,Yellow,22KT,3.423839899,3.742053075,995,,,,,,master,1.337046348,28,Natural,VS2,Princess,Excellent,52662,No,GIA,,master,High,Round,Sapphire,8x5,73
SKU-8,701661,product-slug-8,Product Title 8,publish,<p>Product description for product 8</p>,onbackorder,88,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,5,5,10,Gold,Yellow,22KT,3.918424713,2.73145115,995,,,,,,master,1.785704211,1,Natural,VS2,Princess,Excellent,44948,No,GIA,,master,High,Round,Sapphire,8x5,47
SKU-9,997421,product-slug-9,Product Title 9,draft,<p>Product description for product 9</p>,onbackorder,27,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,9,5,10,Gold,Yellow,22KT,3.842651559,0.888117873,995,,,,,,master,0.934739354,32,Natural,VS2,Princess,Excellent,49174,No,GIA,,master,High,Round,Sapphire,8x5,52
SKU-10,298286,product-slug-10,Product Title 10,publish,<p>Product description for product 10</p>,onbackorder,43,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,4,5,10,Gold,Yellow,22KT,4.771414282,2.596029133,995,,,,,,master,1.420091373,28,Natural,VS2,Princess,Excellent,40817,No,GIA,,master,High,Round,Sapphire,8x5,42
SKU-11,125939,product-slug-11,Product Title 11,draft,<p>Product description for product 11</p>,onbackorder,30,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,11,5,10,Gold,Yellow,22KT,2.297380084,0.927307841,995,,,,,,master,0.776965892,33,Natural,VS2,Princess,Excellent,31306,No,GIA,,master,High,Round,Sapphire,8x5,62
SKU-12,121959,product-slug-12,Product Title 12,publish,<p>Product description for product 12</p>,onbackorder,27,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,9,5,10,Gold,Yellow,22KT,2.939319885,2.923526115,995,,,,,,master,0.611883434,24,Natural,VS2,Princess,Excellent,31998,No,GIA,,master,High,Round,Sapphire,8x5,59
SKU-13,937437,product-slug-13,Product Title 13,draft,<p>Product description for product 13</p>,onbackorder,58,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,12,5,10,Gold,Yellow,22KT,2.007129183,2.240369771,995,,,,,,master,0.671668789,49,Natural,VS2,Princess,Excellent,57575,No,GIA,,master,High,Round,Sapphire,8x5,81
SKU-14,452228,product-slug-14,Product Title 14,publish,<p>Product description for product 14</p>,onbackorder,96,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,1,5,10,Gold,Yellow,22KT,3.537405379,2.88246908,995,,,,,,master,1.108775708,26,Natural,VS2,Princess,Excellent,35791,No,GIA,,master,High,Round,Sapphire,8x5,70
SKU-15,911774,product-slug-15,Product Title 15,draft,<p>Product description for product 15</p>,onbackorder,38,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,5,5,10,Gold,Yellow,22KT,3.529223322,2.717353988,995,,,,,,master,1.1179719,48,Natural,VS2,Princess,Excellent,52671,No,GIA,,master,High,Round,Sapphire,8x5,97
SKU-16,978338,product-slug-16,Product Title 16,publish,<p>Product description for product 16</p>,onbackorder,20,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,4,5,10,Gold,Yellow,22KT,1.066351316,2.292325704,995,,,,,,master,0.530341973,32,Natural,VS2,Princess,Excellent,31734,No,GIA,,master,High,Round,Sapphire,8x5,52
SKU-17,399648,product-slug-17,Product Title 17,draft,<p>Product description for product 17</p>,onbackorder,11,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,18,5,10,Gold,Yellow,22KT,4.698774473,3.570687737,995,,,,,,master,0.590089093,16,Natural,VS2,Princess,Excellent,55199,No,GIA,,master,High,Round,Sapphire,8x5,60
SKU-18,217796,product-slug-18,Product Title 18,publish,<p>Product description for product 18</p>,onbackorder,32,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,9,5,10,Gold,Yellow,22KT,2.11548541,2.951252405,995,,,,,,master,1.70865617,20,Natural,VS2,Princess,Excellent,36295,No,GIA,,master,High,Round,Sapphire,8x5,54
SKU-19,891971,product-slug-19,Product Title 19,draft,<p>Product description for product 19</p>,onbackorder,38,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,8,5,10,Gold,Yellow,22KT,3.425716239,0.532189681,995,,,,,,master,0.292795931,35,Natural,VS2,Princess,Excellent,32200,No,GIA,,master,High,Round,Sapphire,8x5,93
SKU-20,881474,product-slug-20,Product Title 20,publish,<p>Product description for product 20</p>,onbackorder,80,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,9,5,10,Gold,Yellow,22KT,1.703701011,0.563263773,995,,,,,,master,1.038398059,48,Natural,VS2,Princess,Excellent,33987,No,GIA,,master,High,Round,Sapphire,8x5,8
SKU-21,207450,product-slug-21,Product Title 21,draft,<p>Product description for product 21</p>,onbackorder,86,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,14,5,10,Gold,Yellow,22KT,3.35948339,3.926125004,995,,,,,,master,1.024810091,8,Natural,VS2,Princess,Excellent,49738,No,GIA,,master,High,Round,Sapphire,8x5,27
SKU-22,469599,product-slug-22,Product Title 22,publish,<p>Product description for product 22</p>,onbackorder,97,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,5,5,10,Gold,Yellow,22KT,1.920741073,2.24717683,995,,,,,,master,1.186807978,49,Natural,VS2,Princess,Excellent,37679,No,GIA,,master,High,Round,Sapphire,8x5,17
SKU-23,929957,product-slug-23,Product Title 23,draft,<p>Product description for product 23</p>,onbackorder,99,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,9,5,10,Gold,Yellow,22KT,4.812287388,1.657626066,995,,,,,,master,1.150253437,31,Natural,VS2,Princess,Excellent,49554,No,GIA,,master,High,Round,Sapphire,8x5,60
SKU-24,805696,product-slug-24,Product Title 24,publish,<p>Product description for product 24</p>,onbackorder,67,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,18,5,10,Gold,Yellow,22KT,3.22720505,3.77654171,995,,,,,,master,1.422456614,40,Natural,VS2,Princess,Excellent,49117,No,GIA,,master,High,Round,Sapphire,8x5,24
SKU-25,156958,product-slug-25,Product Title 25,draft,<p>Product description for product 25</p>,onbackorder,27,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,10,5,10,Gold,Yellow,22KT,4.509492288,3.092690162,995,,,,,,master,1.424329908,43,Natural,VS2,Princess,Excellent,42533,No,GIA,,master,High,Round,Sapphire,8x5,48
SKU-26,653880,product-slug-26,Product Title 26,publish,<p>Product description for product 26</p>,onbackorder,24,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,13,5,10,Gold,Yellow,22KT,1.326376722,0.51814702,995,,,,,,master,1.292999388,20,Natural,VS2,Princess,Excellent,32368,No,GIA,,master,High,Round,Sapphire,8x5,8
SKU-27,224046,product-slug-27,Product Title 27,draft,<p>Product description for product 27</p>,onbackorder,92,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,2,5,10,Gold,Yellow,22KT,1.375927759,2.523980493,995,,,,,,master,0.16829032,25,Natural,VS2,Princess,Excellent,50153,No,GIA,,master,High,Round,Sapphire,8x5,63
SKU-28,131024,product-slug-28,Product Title 28,publish,<p>Product description for product 28</p>,onbackorder,52,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,10,5,10,Gold,Yellow,22KT,4.290402243,1.760667245,995,,,,,,master,0.341414974,33,Natural,VS2,Princess,Excellent,44599,No,GIA,,master,High,Round,Sapphire,8x5,53
SKU-29,821772,product-slug-29,Product Title 29,draft,<p>Product description for product 29</p>,onbackorder,96,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,15,5,10,Gold,Yellow,22KT,3.798048843,0.984235823,995,,,,,,master,0.352216302,42,Natural,VS2,Princess,Excellent,48077,No,GIA,,master,High,Round,Sapphire,8x5,19
SKU-30,977284,product-slug-30,Product Title 30,publish,<p>Product description for product 30</p>,onbackorder,90,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,9,5,10,Gold,Yellow,22KT,3.753999603,0.703677584,995,,,,,,master,1.838906082,47,Natural,VS2,Princess,Excellent,57425,No,GIA,,master,High,Round,Sapphire,8x5,96
SKU-31,738836,product-slug-31,Product Title 31,draft,<p>Product description for product 31</p>,onbackorder,1,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,16,5,10,Gold,Yellow,22KT,3.06678503,2.79988965,995,,,,,,master,0.927778507,29,Natural,VS2,Princess,Excellent,56870,No,GIA,,master,High,Round,Sapphire,8x5,67
SKU-32,455612,product-slug-32,Product Title 32,publish,<p>Product description for product 32</p>,onbackorder,78,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,5,5,10,Gold,Yellow,22KT,1.376627953,1.589946583,995,,,,,,master,1.961070004,5,Natural,VS2,Princess,Excellent,59899,No,GIA,,master,High,Round,Sapphire,8x5,16
SKU-33,418717,product-slug-33,Product Title 33,draft,<p>Product description for product 33</p>,onbackorder,94,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,5,5,10,Gold,Yellow,22KT,2.594018938,2.655475343,995,,,,,,master,1.306677937,34,Natural,VS2,Princess,Excellent,57827,No,GIA,,master,High,Round,Sapphire,8x5,95
SKU-34,404119,product-slug-34,Product Title 34,publish,<p>Product description for product 34</p>,onbackorder,69,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,13,5,10,Gold,Yellow,22KT,1.651737708,0.746990616,995,,,,,,master,1.320596629,49,Natural,VS2,Princess,Excellent,46347,No,GIA,,master,High,Round,Sapphire,8x5,32
SKU-35,453824,product-slug-35,Product Title 35,draft,<p>Product description for product 35</p>,onbackorder,33,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,19,5,10,Gold,Yellow,22KT,4.282557903,2.690788845,995,,,,,,master,1.658811003,40,Natural,VS2,Princess,Excellent,33913,No,GIA,,master,High,Round,Sapphire,8x5,43
SKU-36,767521,product-slug-36,Product Title 36,publish,<p>Product description for product 36</p>,onbackorder,35,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,17,5,10,Gold,Yellow,22KT,3.622890542,1.848888173,995,,,,,,master,1.395065971,34,Natural,VS2,Princess,Excellent,54690,No,GIA,,master,High,Round,Sapphire,8x5,7
SKU-37,231484,product-slug-37,Product Title 37,draft,<p>Product description for product 37</p>,onbackorder,36,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,4,5,10,Gold,Yellow,22KT,1.709758175,3.127151631,995,,,,,,master,1.632986005,49,Natural,VS2,Princess,Excellent,47506,No,GIA,,master,High,Round,Sapphire,8x5,36
SKU-38,525695,product-slug-38,Product Title 38,publish,<p>Product description for product 38</p>,onbackorder,37,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,12,5,10,Gold,Yellow,22KT,2.71597611,3.128048737,995,,,,,,master,1.533631461,41,Natural,VS2,Princess,Excellent,52301,No,GIA,,master,High,Round,Sapphire,8x5,17
SKU-39,219180,product-slug-39,Product Title 39,draft,<p>Product description for product 39</p>,onbackorder,59,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,19,5,10,Gold,Yellow,22KT,2.556806715,0.53793178,995,,,,,,master,1.820225755,12,Natural,VS2,Princess,Excellent,34360,No,GIA,,master,High,Round,Sapphire,8x5,71
SKU-40,554137,product-slug-40,Product Title 40,publish,<p>Product description for product 40</p>,onbackorder,16,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,5,5,10,Gold,Yellow,22KT,2.172843087,1.650325909,995,,,,,,master,1.377785067,36,Natural,VS2,Princess,Excellent,50020,No,GIA,,master,High,Round,Sapphire,8x5,23
SKU-41,645977,product-slug-41,Product Title 41,draft,<p>Product description for product 41</p>,onbackorder,39,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,14,5,10,Gold,Yellow,22KT,3.198115529,2.045356755,995,,,,,,master,1.786637947,43,Natural,VS2,Princess,Excellent,54394,No,GIA,,master,High,Round,Sapphire,8x5,18
SKU-42,308124,product-slug-42,Product Title 42,publish,<p>Product description for product 42</p>,onbackorder,7,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,14,5,10,Gold,Yellow,22KT,3.803876526,0.754670522,995,,,,,,master,1.661534113,2,Natural,VS2,Princess,Excellent,47924,No,GIA,,master,High,Round,Sapphire,8x5,29
SKU-43,257504,product-slug-43,Product Title 43,draft,<p>Product description for product 43</p>,onbackorder,86,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,17,5,10,Gold,Yellow,22KT,4.78899431,3.951003723,995,,,,,,master,1.531418552,6,Natural,VS2,Princess,Excellent,53803,No,GIA,,master,High,Round,Sapphire,8x5,31
SKU-44,548345,product-slug-44,Product Title 44,publish,<p>Product description for product 44</p>,onbackorder,19,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,7,5,10,Gold,Yellow,22KT,2.737807378,1.387887609,995,,,,,,master,0.869883965,20,Natural,VS2,Princess,Excellent,53003,No,GIA,,master,High,Round,Sapphire,8x5,72
SKU-45,601708,product-slug-45,Product Title 45,draft,<p>Product description for product 45</p>,onbackorder,92,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,17,5,10,Gold,Yellow,22KT,1.331565287,2.349295425,995,,,,,,master,0.92903808,44,Natural,VS2,Princess,Excellent,42972,No,GIA,,master,High,Round,Sapphire,8x5,32
SKU-46,831899,product-slug-46,Product Title 46,publish,<p>Product description for product 46</p>,onbackorder,36,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,3,5,10,Gold,Yellow,22KT,3.781644492,0.764020915,995,,,,,,master,0.415809321,49,Natural,VS2,Princess,Excellent,35645,No,GIA,,master,High,Round,Sapphire,8x5,15
SKU-47,250159,product-slug-47,Product Title 47,draft,<p>Product description for product 47</p>,onbackorder,87,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,11,5,10,Gold,Yellow,22KT,2.123852758,3.826440194,995,,,,,,master,1.791501189,12,Natural,VS2,Princess,Excellent,53959,No,GIA,,master,High,Round,Sapphire,8x5,28
SKU-48,464167,product-slug-48,Product Title 48,publish,<p>Product description for product 48</p>,onbackorder,58,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,18,5,10,Gold,Yellow,22KT,2.0637517,1.761207833,995,,,,,,master,0.593904739,27,Natural,VS2,Princess,Excellent,44837,No,GIA,,master,High,Round,Sapphire,8x5,63
SKU-49,983439,product-slug-49,Product Title 49,draft,<p>Product description for product 49</p>,onbackorder,29,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,13,5,10,Gold,Yellow,22KT,4.643708738,3.37888035,995,,,,,,master,1.904619835,5,Natural,VS2,Princess,Excellent,48222,No,GIA,,master,High,Round,Sapphire,8x5,25
SKU-50,326156,product-slug-50,Product Title 50,publish,<p>Product description for product 50</p>,onbackorder,5,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,1,5,10,Gold,Yellow,22KT,4.110409135,2.181295287,995,,,,,,master,1.972043496,11,Natural,VS2,Princess,Excellent,59524,No,GIA,,master,High,Round,Sapphire,8x5,26
SKU-51,251456,product-slug-51,Product Title 51,draft,<p>Product description for product 51</p>,onbackorder,98,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,9,5,10,Gold,Yellow,22KT,2.659278009,1.456924752,995,,,,,,master,0.207113444,6,Natural,VS2,Princess,Excellent,42763,No,GIA,,master,High,Round,Sapphire,8x5,81
SKU-52,910006,product-slug-52,Product Title 52,publish,<p>Product description for product 52</p>,onbackorder,53,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,5,5,10,Gold,Yellow,22KT,4.028324808,1.822476922,995,,,,,,master,0.558061181,9,Natural,VS2,Princess,Excellent,35997,No,GIA,,master,High,Round,Sapphire,8x5,1
SKU-53,399888,product-slug-53,Product Title 53,draft,<p>Product description for product 53</p>,onbackorder,32,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,2,5,10,Gold,Yellow,22KT,2.432650872,0.897451573,995,,,,,,master,1.375989072,34,Natural,VS2,Princess,Excellent,59109,No,GIA,,master,High,Round,Sapphire,8x5,3
SKU-54,731172,product-slug-54,Product Title 54,publish,<p>Product description for product 54</p>,onbackorder,94,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,17,5,10,Gold,Yellow,22KT,1.536060914,0.600739367,995,,,,,,master,1.534760786,21,Natural,VS2,Princess,Excellent,42173,No,GIA,,master,High,Round,Sapphire,8x5,66
SKU-55,863185,product-slug-55,Product Title 55,draft,<p>Product description for product 55</p>,onbackorder,98,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,18,5,10,Gold,Yellow,22KT,2.56897618,2.031162227,995,,,,,,master,1.81790152,38,Natural,VS2,Princess,Excellent,54032,No,GIA,,master,High,Round,Sapphire,8x5,88
SKU-56,347940,product-slug-56,Product Title 56,publish,<p>Product description for product 56</p>,onbackorder,29,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,4,5,10,Gold,Yellow,22KT,2.837387232,3.447319953,995,,,,,,master,1.560943708,20,Natural,VS2,Princess,Excellent,57607,No,GIA,,master,High,Round,Sapphire,8x5,69
SKU-57,358090,product-slug-57,Product Title 57,draft,<p>Product description for product 57</p>,onbackorder,75,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,19,5,10,Gold,Yellow,22KT,3.149053667,2.110417056,995,,,,,,master,1.211055601,11,Natural,VS2,Princess,Excellent,41637,No,GIA,,master,High,Round,Sapphire,8x5,16
SKU-58,357218,product-slug-58,Product Title 58,publish,<p>Product description for product 58</p>,onbackorder,96,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,3,5,10,Gold,Yellow,22KT,3.060944219,3.905886222,995,,,,,,master,1.243677252,19,Natural,VS2,Princess,Excellent,54340,No,GIA,,master,High,Round,Sapphire,8x5,5
SKU-59,230560,product-slug-59,Product Title 59,draft,<p>Product description for product 59</p>,onbackorder,5,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,9,5,10,Gold,Yellow,22KT,2.423965937,3.62976042,995,,,,,,master,0.344621957,26,Natural,VS2,Princess,Excellent,44124,No,GIA,,master,High,Round,Sapphire,8x5,27
SKU-60,883415,product-slug-60,Product Title 60,publish,<p>Product description for product 60</p>,onbackorder,94,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,11,5,10,Gold,Yellow,22KT,4.683489602,0.713772859,995,,,,,,master,0.626067531,1,Natural,VS2,Princess,Excellent,56631,No,GIA,,master,High,Round,Sapphire,8x5,99
SKU-61,735605,product-slug-61,Product Title 61,draft,<p>Product description for product 61</p>,onbackorder,14,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,14,5,10,Gold,Yellow,22KT,2.850138865,3.116148283,995,,,,,,master,0.169698085,7,Natural,VS2,Princess,Excellent,35122,No,GIA,,master,High,Round,Sapphire,8x5,23
SKU-62,266926,product-slug-62,Product Title 62,publish,<p>Product description for product 62</p>,onbackorder,64,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,5,5,10,Gold,Yellow,22KT,1.729135514,2.473877822,995,,,,,,master,1.697348973,22,Natural,VS2,Princess,Excellent,54025,No,GIA,,master,High,Round,Sapphire,8x5,44
SKU-63,567010,product-slug-63,Product Title 63,draft,<p>Product description for product 63</p>,onbackorder,18,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,15,5,10,Gold,Yellow,22KT,3.336797939,3.078878664,995,,,,,,master,1.159710305,40,Natural,VS2,Princess,Excellent,45728,No,GIA,,master,High,Round,Sapphire,8x5,83
SKU-64,672735,product-slug-64,Product Title 64,publish,<p>Product description for product 64</p>,onbackorder,98,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,13,5,10,Gold,Yellow,22KT,2.321393925,3.767921383,995,,,,,,master,0.11431529,21,Natural,VS2,Princess,Excellent,48117,No,GIA,,master,High,Round,Sapphire,8x5,70
SKU-65,244990,product-slug-65,Product Title 65,draft,<p>Product description for product 65</p>,onbackorder,24,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,9,5,10,Gold,Yellow,22KT,1.320934983,2.335789863,995,,,,,,master,0.879753971,36,Natural,VS2,Princess,Excellent,39111,No,GIA,,master,High,Round,Sapphire,8x5,95
SKU-66,487952,product-slug-66,Product Title 66,publish,<p>Product description for product 66</p>,onbackorder,94,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,6,5,10,Gold,Yellow,22KT,3.67457288,3.752815962,995,,,,,,master,1.157849497,8,Natural,VS2,Princess,Excellent,45385,No,GIA,,master,High,Round,Sapphire,8x5,51
SKU-67,716210,product-slug-67,Product Title 67,draft,<p>Product description for product 67</p>,onbackorder,84,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,1,5,10,Gold,Yellow,22KT,3.944988735,2.354440081,995,,,,,,master,1.443737182,14,Natural,VS2,Princess,Excellent,42607,No,GIA,,master,High,Round,Sapphire,8x5,38
SKU-68,382272,product-slug-68,Product Title 68,publish,<p>Product description for product 68</p>,onbackorder,6,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,18,5,10,Gold,Yellow,22KT,2.817071889,2.420110913,995,,,,,,master,1.142951762,2,Natural,VS2,Princess,Excellent,48444,No,GIA,,master,High,Round,Sapphire,8x5,40
SKU-69,872042,product-slug-69,Product Title 69,draft,<p>Product description for product 69</p>,onbackorder,15,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,6,5,10,Gold,Yellow,22KT,2.647363657,1.721038933,995,,,,,,master,1.866105374,44,Natural,VS2,Princess,Excellent,40161,No,GIA,,master,High,Round,Sapphire,8x5,78
